"Slice []"	"Time [ns]"	"Distance [mm]"	"Flux_Lines []"	"Mag_B [tesla]"	"coEnergy [J_per_m3]"	"Br []"	"Bt []"
1	2000000000	196.202076	-0.02094045397748	1.24697226932736	629172.697270385	1.45556492487357	0.0729391298666838
1	2000000000	196.715694	-0.0202598945239492	1.16615285382865	525436.025464657	1.19446640094264	0.0545617104868628
1	2000000000	197.229312	-0.0197134952042237	0.923134019829379	357471.331758978	0.933161585633722	0.0392729902739621
1	2000000000	197.74293	-0.019301360881451	0.532165741962828	131752.507753492	0.671657466968034	0.0270735500127798
1	2000000000	198.256548	-0.0191630741419211	0.168618434114143	29250.3018260191	0.105312215120325	-0.0496643771826616
1	2000000000	198.770166	-0.0191737239123496	0.143015158348373	2077.80700232667	-0.146145161697761	0.154164077876805
1	2000000000	199.283784	-0.0193125427597287	0.284660204235844	27138.223261955	-0.393758467026368	0.360472682935852
1	2000000000	199.797402	-0.019426655458615	0.185119921998979	6080.63687121781	-0.0847351836579378	0.135001303093561
1	2000000000	200.31102	-0.0194260015766352	0.182070026758904	15280.7062924723	0.0873626139439104	0.159719656273086
1	2000000000	200.824638	-0.0193368315473514	0.380263833934022	94436.9895288865	0.259937819142854	0.184611285129567
1	2000000000	201.338256	-0.0189889087104284	0.775205466422114	289207.989667375	0.981671347985972	0.255008008928327
1	2000000000	201.851874	-0.0184573071376482	1.09233844798811	471017.87712879	1.08750375654557	-0.0259433063111954
1	2000000000	202.365492	-0.0178726975841969	1.23692750949384	584564.082787473	1.18805351961807	-0.314745150704083
1	2000000000	202.87911	-0.0172369983497211	1.23734705907215	611043.717730828	1.25819756368643	0.00281952962511432
1	2000000000	203.392728	-0.0166007955880939	1.21660821798963	589069.720144621	1.21919184729671	0.00903551599938062
1	2000000000	203.906346	-0.0159845712819917	1.19751624547272	570390.325363742	1.18040545424578	0.0158190841383071
1	2000000000	204.419964	-0.0153811046260544	1.18567656201114	559816.83593782	1.19479327461441	0.008732267446476
1	2000000000	204.933582	-0.0147694830211476	1.18495126062288	558791.711412449	1.18685487189208	0.00752245145303895
1	2000000000	205.4472	-0.014161920020081	1.1833592624285	557060.528822166	1.17899039430195	0.00661023388442386
1	2000000000	205.960818	-0.0135574151825599	1.18136747424379	555256.203967375	1.18562848171102	0.00589807618735032
1	2000000000	206.474436	-0.0129482430238635	1.1841759423206	557626.417064586	1.18645376635195	-0.00424639896051462
