"Time [s]"	"Pem [kW]"
1.05	0.326498338636632
1.051	0.515823615358463
1.05199999999999	-0.113121878735068
1.05299999999999	-0.541791783230547
1.05399999999999	-0.0625768277647355
1.05499999999999	0.54882106435337
1.05599999999999	0.565081953703106
1.05699999999999	-0.243902692130921
1.05799999999999	-0.642703952986306
1.05899999999999	-0.399478707813103
1.05999999999999	0.37062314097012
1.06099999999999	0.434053856308591
1.06199999999999	-0.152277005149164
1.06299999999999	-0.526890038550535
1.06399999999999	-0.146107537175741
1.06499999999999	0.64471693849191
1.06599999999999	0.576076417697301
1.06699999999999	-0.157843243651905
1.06799999999999	-0.53440031025033
1.06899999999999	-0.0525166100633732
1.06999999999999	0.514627242902875
1.07099999999999	0.580275130438135
1.07199999999999	0.0574776642025513
1.07299999999999	-0.311311208564688
1.07399999999999	0.0813816435815699
1.07499999999999	0.817298320635122
1.07599999999999	0.700612279551713
1.07699999999999	-0.0595636840324194
1.07799999999999	-0.364946445550127
1.07899999999999	0.0310601053782516
1.07999999999999	0.548843041272912
1.08099999999999	0.665801691507487
1.08199999999999	0.0247142746123629
1.08299999999999	-0.371175392084627
1.08399999999999	0.110656382257493
1.08499999999999	0.835191912459462
1.08599999999999	0.604134027931249
1.08699999999999	-0.141629057536876
1.08799999999999	-0.502210608464116
1.08899999999999	-0.129863912496183
1.08999999999999	0.327185814557837
1.09099999999999	0.519224046962513
1.09199999999999	-0.112811517472747
1.09299999999999	-0.551991948589906
1.09399999999999	-0.0552050913915786
1.09499999999999	0.537992273161066
1.09599999999999	0.56443439981608
1.09699999999999	-0.239277547606968
1.09799999999999	-0.655231621497774
1.09899999999999	-0.401237565711577
1.09999999999999	0.356648039652
1.10099999999999	0.429066591160078
1.10199999999999	-0.159655053439166
1.10299999999999	-0.536773745560723
1.10399999999999	-0.151023359571799
1.10499999999999	0.65355322496528
1.10599999999999	0.585833087757038
1.10699999999999	-0.145892326531047
1.10799999999999	-0.537928386491766
1.10899999999999	-0.0490775233574695
1.10999999999999	0.522253635155819
1.11099999999999	0.580610517581523
1.11199999999999	0.059786259784208
1.11299999999999	-0.317557065085858
1.11399999999999	0.0929870324080394
1.11499999999999	0.821310134800809
1.11599999999999	0.701534901340994
1.11699999999999	-0.0485361830053584
1.11799999999999	-0.372090669869149
1.11899999999999	0.0367127051527964
1.11999999999999	0.545867999444322
1.12099999999999	0.669281322862215
1.12199999999999	0.023095531882047
1.12299999999999	-0.375804583423907
1.12399999999999	0.103081029099818
1.12499999999999	0.836070025915909
1.12599999999999	0.605148279423488
1.12699999999999	-0.133366915570229
1.12799999999999	-0.504576435546202
1.12899999999999	-0.134270898077644
1.12999999999999	0.328388191735583
1.13099999999999	0.522759583122849
1.13199999999999	-0.112479891746956
1.13299999999999	-0.561152722541669
1.13399999999999	-0.0457363556526568
1.13499999999999	0.527960915570721
1.13599999999999	0.565075924970612
1.13699999999999	-0.234377637468876
1.13799999999999	-0.666292858245491
1.13899999999999	-0.401919966216896
1.13999999999999	0.343261431409465
1.14099999999999	0.424859342912422
1.14199999999999	-0.165581579897191
1.14299999999998	-0.544628406309224
1.14399999999998	-0.154895697477361
1.14499999999998	0.662525096462601
1.14599999999998	0.590666436926919
1.14699999999998	-0.133094773427113
1.14799999999998	-0.540692119244889
1.14899999999998	-0.0473757427010949
1.14999999999998	0.534709495886188
1.15099999999998	0.581424106189397
1.15199999999998	0.0630549700776007
1.15299999999998	-0.322474964625914
1.15399999999998	0.100876667746979
1.15499999999998	0.823869916165233
1.15599999999998	0.703928015159246
1.15699999999998	-0.0377688965254469
1.15799999999998	-0.38022216186269
1.15899999999998	0.0414217053728247
1.15999999999998	0.542569151407356
1.16099999999998	0.671809885540762
1.16199999999998	0.0203335075773352
1.16299999999998	-0.379543920991234
1.16399999999998	0.0932753142854349
1.16499999999998	0.836159389949563
1.16599999999998	0.606812911605545
1.16699999999998	-0.125533363901996
1.16799999999998	-0.506882927341805
1.16899999999998	-0.139931746323263
1.16999999999998	0.330151978631874
1.17099999999998	0.526470208243205
1.17199999999998	-0.112235257205956
1.17299999999998	-0.569539860135889
1.17399999999998	-0.0370921873947048
1.17499999999998	0.51855431148719
1.17599999999998	0.562685998664449
1.17699999999998	-0.229552481785467
1.17799999999998	-0.669281589299983
1.17899999999998	-0.402218239843872
1.17999999999998	0.329946480653444
1.18099999999998	0.421032418504993
1.18199999999998	-0.165964345537333
1.18299999999998	-0.550853867084914
1.18399999999998	-0.15867446338102
1.18499999999998	0.670694950577584
1.18599999999998	0.591271393462074
1.18699999999998	-0.12050849828123
1.18799999999998	-0.544619188536449
1.18899999999998	-0.0487740732361641
1.18999999999998	0.546777667003639
1.19099999999998	0.582089174966744
1.19199999999998	0.0622724201780521
1.19299999999998	-0.326887781792342
1.19399999999998	0.106189128260785
1.19499999999998	0.824693974816835
1.19599999999998	0.709526588198315
1.19699999999998	-0.0272765445285524
1.19799999999998	-0.388668746937001
1.19899999999998	0.0456397650560948
1.19999999999998	0.539324911193349
1.20099999999998	0.674000129299638
1.20199999999998	0.0173513063513988
1.20299999999998	-0.381592041362693
1.20399999999998	0.0822779538663179
1.20499999999998	0.836628177453752
1.20599999999998	0.610143856057717
1.20699999999998	-0.117186531059757
1.20799999999998	-0.508201597722396
1.20899999999998	-0.14181585354867
1.20999999999998	0.333256208067553
1.21099999999998	0.531001822531899
1.21199999999998	-0.111639276955667
1.21299999999998	-0.576749750255529
1.21399999999998	-0.0289099661224893
1.21499999999998	0.509856648356528
1.21599999999998	0.558599707792205
1.21699999999998	-0.225048567028142
1.21799999999998	-0.672291993899233
1.21899999999998	-0.402877177866717
1.21999999999998	0.316551834292277
1.22099999999998	0.417200168073207
1.22199999999998	-0.164819686861734
1.22299999999998	-0.555864469737174
1.22399999999998	-0.154547917320379
1.22499999999998	0.677485257332696
1.22599999999998	0.592996465698418
1.22699999999998	-0.109021449735406
1.22799999999998	-0.551191225609705
1.22899999999998	-0.054064979869333
1.22999999999998	0.5569828653534
1.23099999999998	0.581912187304929
1.23199999999998	0.0604920011654085
1.23299999999998	-0.332842609460941
1.23399999999997	0.107474873631528
1.23499999999997	0.822564608384352
1.23599999999997	0.717477773992783
1.23699999999997	-0.0182214629799167
1.23799999999997	-0.39793705732233
1.23899999999997	0.0478427065430264
1.23999999999997	0.534514196018543
1.24099999999997	0.675513623319334
1.24199999999997	0.0139468844888881
1.24299999999997	-0.382779822805524
1.24399999999997	0.0694812740072022
1.24499999999997	0.836899406598365
1.24599999999997	0.615016203992612
1.24699999999997	-0.108607494656536
1.24799999999997	-0.508683299324237
1.24899999999997	-0.143042919812523
1.24999999999997	0.338103097676364
1.25099999999997	0.536431768723361
1.25199999999997	-0.110152121291304
1.25299999999997	-0.581735918230011
1.25399999999997	-0.0197220594275913
1.25499999999997	0.503179584860052
1.25599999999997	0.556797005219918
1.25699999999997	-0.219336550077371
1.25799999999997	-0.674110182299011
1.25899999999997	-0.402416928681622
1.25999999999997	0.304939790089342
1.26099999999997	0.414136639442418
1.26199999999997	-0.162038048065743
1.26299999999997	-0.558925891155114
1.26399999999997	-0.150146247200249
1.26499999999997	0.68316376766669
1.26599999999997	0.596406911462874
1.26699999999997	-0.098178976022585
1.26799999999997	-0.558605425207772
1.26899999999997	-0.0622862839946365
1.26999999999997	0.565893699702768
1.27099999999997	0.581285439563768
1.27199999999997	0.0580078832115068
1.27299999999997	-0.337923306597804
1.27399999999997	0.105005962061443
1.27499999999997	0.817487841675739
1.27599999999997	0.725695600013102
1.27699999999997	-0.0107959486918548
1.27799999999997	-0.408145467673117
1.27899999999997	0.0474989207239613
1.27999999999997	0.528998425746897
1.28099999999997	0.675699840954138
1.28199999999997	0.00987788535457054
1.28299999999997	-0.38389532913606
1.28399999999997	0.0571094752113622
1.28499999999997	0.836124714994078
1.28599999999997	0.620990440363789
1.28699999999997	-0.100609260980651
1.28799999999997	-0.509293925622506
1.28899999999997	-0.145252603529818
1.28999999999997	0.343382656687114
1.29099999999997	0.541959690363513
1.29199999999997	-0.108367620413172
1.29299999999997	-0.58195822242142
1.29399999999997	-0.010932927909826
1.29499999999997	0.497906573357452
1.29599999999997	0.55702954936423
1.29699999999997	-0.213741178087524
1.29799999999997	-0.675263573461376
1.29899999999997	-0.4013947739642
1.29999999999997	0.29429035124519
1.30099999999997	0.411762743488195
1.30199999999997	-0.157649067709847
1.30299999999997	-0.559981608749402
1.30399999999997	-0.144983166339415
1.30499999999997	0.689228539111083
1.30599999999997	0.60189453887437
1.30699999999997	-0.0877917769844775
1.30799999999997	-0.566402110084627
1.30899999999997	-0.0711646817958326
1.30999999999997	0.574011692769655
1.31099999999997	0.580604920629781
1.31199999999997	0.0551308319092133
1.31299999999997	-0.343556370203875
1.31399999999997	0.0994191421929331
1.31499999999997	0.81005754592774
1.31599999999997	0.734311790350002
1.31699999999997	-0.00310088169283281
1.31799999999997	-0.418922192131597
