"Slice []"	"Time [ns]"	"Distance [mm]"	"Flux_Lines []"	"Mag_B [tesla]"	"Br []"	"Bt []"
1	2000000000	390.34968	-0.0150493154720846	1.08506009790863	-1.06982632679913	-0.00611267357590816
1	2000000000	390.863298	-0.0155936241875168	1.08958854830185	-1.04974552551941	-0.0172849548571101
1	2000000000	391.376916	-0.0161446751683216	1.07791043497709	-1.08423557820428	-0.0142901283203593
1	2000000000	391.890534	-0.0166995807415748	1.07700910714319	-1.07655111878621	-0.0100526059676139
1	2000000000	392.404152	-0.0172505417020383	1.07282308501628	-1.06887771174984	-0.00645498124293343
1	2000000000	392.91777	-0.0178003557207687	1.07327622616295	-1.07653559017867	0.00556426877489971
1	2000000000	393.431388	-0.0183559707902742	1.08699676418118	-1.08699637217474	0.0155416941489251
1	2000000000	393.945006	-0.0189169284272994	1.11007188622727	-1.09733099802448	0.0280475012759348
1	2000000000	394.458624	-0.019491629134202	1.11481514671225	-1.13127882199004	-0.172872846015711
1	2000000000	394.972242	-0.0200429853641439	1.02027872614935	-1.01528159265207	-0.0407866500811648
1	2000000000	395.48586	-0.0205341473102107	0.879004500813995	-0.896893583136186	0.0896608381333186
1	2000000000	395.999478	-0.020935026436815	0.781620730761614	-0.512443452176997	0.294043138285032
1	2000000000	396.513096	-0.0211813884737959	0.492085198794589	-0.447764808729356	0.0146659522365429
1	2000000000	397.026714	-0.0213958998128111	0.474714067664512	-0.388434660667019	-0.269561432230055
1	2000000000	397.540332	-0.0215940713596315	0.943816580556365	-0.750944849772586	-0.0778135399209597
1	2000000000	398.05395	-0.0219469773258641	0.632943513052608	-0.622951411910795	0.0223949248917942
1	2000000000	398.567568	-0.0222337057305864	0.497718185566474	-0.493316421487932	0.102433464283007
1	2000000000	399.081186	-0.0224535045114236	0.280402065186413	-0.362394954872836	0.16228939093822
1	2000000000	399.594804	-0.0226101811478675	0.46489916448859	-0.429599392004537	0.0753878624104023
1	2000000000	400.108422	-0.022903918343257	0.714629489397598	-0.714079681522784	0.118515593906306
1	2000000000	400.62204	-0.0233435376928231	0.95035903763594	-0.99757022983733	0.187560143363005
1	2000000000	401.135658	-0.0238620022339616	1.01445691298138	-1.00654720295852	-0.0541459082719509
1	2000000000	401.649276	-0.0243815885617304	1.01585317327278	-1.01658352294083	-0.0106336915180386
1	2000000000	402.162894	-0.0249061435026165	1.01823040201258	-1.02590157480652	0.030616550739798
1	2000000000	402.676512	-0.025429300091464	1.01572449112048	-1.01262521701199	0.00102630949261417
1	2000000000	403.19013	-0.0259492514834477	1.01200701742548	-1.01206606242716	0.000215353684742078
1	2000000000	403.703748	-0.0264689402998065	1.01106474318244	-1.01160313905622	-0.000710775191569874
1	2000000000	404.217366	-0.0269886171167902	1.0115893224454	-1.01162575957786	-0.00208578670725571
1	2000000000	404.730984	-0.0275076108172186	1.00949037181076	-1.00932457424812	0.000809203561579238
1	2000000000	405.244602	-0.0280254290447752	1.00492142082239	-1.00704863915355	0.00369061657571904
1	2000000000	405.75822	-0.0285396121266968	1.00821583425122	-0.992975249695021	0.00879680340580095
1	2000000000	406.271838	-0.0290549616118353	1.02001543790369	-1.0137872826124	0.0110635167291128
1	2000000000	406.785456	-0.0295810091072179	1.01062623615307	-1.03463038143339	0.0139224725721614
1	2000000000	407.299074	-0.0301000080322638	0.933955894699732	-0.823582362876122	-0.0211892390172071
1	2000000000	407.812692	-0.0304667279060548	0.626147386683322	-0.604449173463667	-0.0316301587042074
1	2000000000	408.32631	-0.0307209695466117	0.384034753437286	-0.385615727191525	-0.0468126877298991
1	2000000000	408.839928	-0.0308632031798388	0.313467502132803	-0.212534394563807	0.325245936147155
1	2000000000	409.353546	-0.0309716580432439	0.253964221932919	-0.21017192874439	0.20313158154632
1	2000000000	409.867164	-0.0310794962031341	0.256262723576418	-0.210135771586428	0.0801202592666188
1	2000000000	410.380782	-0.0311879167910235	0.322506725149377	-0.212442645617176	-0.0437676138794856
1	2000000000	410.8944	-0.0314029437147948	0.426440373785172	-0.468178642874059	-0.076188389889652
1	2000000000	411.408018	-0.031653248218774	0.517030762847408	-0.506148268950491	0.0379232208318704
1	2000000000	411.921636	-0.0319225033060994	0.542852304628671	-0.541951186908597	0.158134293153982
1	2000000000	412.435254	-0.0322033292857648	0.544861519690568	-0.547174717803533	-0.000574127708785955
1	2000000000	412.948872	-0.03248469469578	0.548483194865183	-0.548457341387808	0.00063834142369011
1	2000000000	413.46249	-0.0327667240205036	0.547024024202581	-0.549759680601628	0.00192907536617218
1	2000000000	413.976108	-0.0330466279035056	0.54369450261393	-0.541436667019857	9.05706673792307E-05
1	2000000000	414.489726	-0.0333250619442353	0.542787121823975	-0.542783861764307	0.000283674369933658
1	2000000000	415.003344	-0.0336041979716216	0.543212597620607	-0.544170059813089	0.000496902302892358
1	2000000000	415.516962	-0.0338836866385412	0.543506939191054	-0.543755138733054	0.0032360965290962
1	2000000000	416.03058	-0.0341632104324702	0.544457296475399	-0.54471647990378	0.00100960965664574
1	2000000000	416.544198	-0.0344432494635572	0.548712874716174	-0.545760749716295	-0.00100497822064909
1	2000000000	417.057816	-0.034725432610524	0.554611847064736	-0.557604467901889	-0.0156414905686929
1	2000000000	417.571434	-0.0350103806466999	0.552921451243898	-0.551901743675976	0.00989027669045422
1	2000000000	418.085052	-0.0352922831189202	0.544164746963306	-0.545737173082427	0.0380158868700446
1	2000000000	418.59867	-0.0355709020809834	0.514308946407607	-0.530710980633858	-0.148017272848159
1	2000000000	419.112288	-0.0358040402834625	0.379261228656014	-0.376887502484869	-0.0727930464511569
1	2000000000	419.625906	-0.0359578342014021	0.225208272220454	-0.221782367802764	-0.00798793968678931
1	2000000000	420.139524	-0.0360316687243331	0.0502695750923071	-0.0655621727395119	0.0463879623197714
1	2000000000	420.653142	-0.0360402560378581	0.0569752584286238	-0.034956835596495	0.0778684073399745
1	2000000000	421.16676	-0.0360688667976882	0.093748934078852	-0.076601373177459	0.030826514086909
1	2000000000	421.680378	-0.0361190928429779	0.139006092583451	-0.119117370089803	-0.013773455126242
1	2000000000	422.193996	-0.0361981471463778	0.162063980168392	-0.164247956173808	-0.0115344027940159
1	2000000000	422.707614	-0.0362846519571287	0.172860205852383	-0.172566396023582	-0.000332681207786436
1	2000000000	423.221232	-0.0363753785751071	0.177726467171503	-0.180687087653235	0.0109217762850558
1	2000000000	423.73485	-0.0364667402485641	0.176519163376761	-0.175687137599217	0.000997645327882052
1	2000000000	424.248468	-0.0365568669460484	0.17521165969806	-0.175267608514663	0.000444287876662299
1	2000000000	424.762086	-0.0366467843668513	0.174602712441486	-0.174872188777537	-9.3642157122176E-05
1	2000000000	425.275704	-0.0367364249212368	0.174421048883332	-0.174298055016059	0.000516037305319207
1	2000000000	425.789322	-0.036825952423496	0.174320942019494	-0.174323273520203	1.49860822452194E-05
1	2000000000	426.30294	-0.0369154988399906	0.174439496747774	-0.174371712043484	-0.000488332437365271
1	2000000000	426.816558	-0.0370051563896388	0.174848387810215	-0.17498729329762	0.000287716181221483
1	2000000000	427.330176	-0.0370952229547666	0.175675499113226	-0.175731209460085	0.000410246134270074
1	2000000000	427.843794	-0.0371856745132677	0.17682684586363	-0.176486293153065	0.000572393569056551
1	2000000000	428.357412	-0.0372769242048837	0.177606586460333	-0.179943610161454	-0.00875219506489786
1	2000000000	428.87103	-0.0373674221406892	0.172786432090393	-0.172433146036103	-0.00187028608570831
1	2000000000	429.384648	-0.0374540330690103	0.16297597437702	-0.164808447193532	0.00484808148868714
1	2000000000	429.898266	-0.0375352387901589	0.144961808168855	-0.115729059422485	0.0657110177279308
1	2000000000	430.411884	-0.0375826229775919	0.0778440513744174	-0.0688445665171659	0.0462725475004667
1	2000000000	430.925502	-0.0376060234748696	0.0458877072439362	-0.0223396898196629	0.0262828111103218
1	2000000000	431.43912	-0.0376056356087584	0.0377075920491078	0.0237842134573419	0.00574506691180338
1	2000000000	431.952738	-0.0375952133025678	0.0289877550124104	0.0163922490732931	0.0435023407261534
1	2000000000	432.466356	-0.0375888222379451	0.0218201102333225	0.00838687315698525	0.00924764491368485
1	2000000000	432.979974	-0.0375867090500201	0.0266443985731777	-0.000266321244940816	-0.0252858241416605
1	2000000000	433.493592	-0.0375963423071528	0.0215248889307167	-0.0247283899553776	-0.0104507605582477
1	2000000000	434.00721	-0.0376095720752667	0.0282991729877451	-0.0267663118588374	-0.00344383490387394
1	2000000000	434.520828	-0.0376238158724536	0.0295168236898082	-0.0286782004823374	0.00315345192598273
1	2000000000	435.034446	-0.037638861080661	0.029025365507712	-0.0292918540643947	-0.000537467884366635
1	2000000000	435.548064	-0.0376537707343816	0.0287833899268526	-0.0287654138670933	-0.000265884718097631
